latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
34.182599,-118.129087,0.40,0.40,0.41,0.16,0.40,0.40,0.41,0.16,1,2022-06-07 23:53:23.422,2022-06-07 16:53:23.422,15,0,0,16.013,34.182598,-118.129086,0.10,0.00,-0.40,1.70,1.20,-8.70,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646003422,4008,4009,4005,3992,0,0,27,Litchi_iOS_2.14.0,Brian-MAVIC 2,163DFCK001S13F,1DUCFB800104PR,0P2AFBV5340045,,0,3507,0,-17.00,12.00,-87.00,0.00,0.00,-140.00,11,4.00,4.12,1.61,1.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,(null),(null),(null),(null),0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.40,0.40,0.40,0.17,0.40,0.40,0.41,0.17,101,2022-06-07 23:53:23.522,2022-06-07 16:53:23.522,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.40,1.90,1.00,-8.70,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646003522,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-19.00,10.00,-87.00,0.00,0.00,-140.00,11,4.00,4.00,1.70,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.50,0.50,0.50,0.19,0.50,0.50,0.50,0.19,251,2022-06-07 23:53:23.672,2022-06-07 16:53:23.672,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,2.00,0.50,-8.70,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646003672,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-20.00,5.00,-87.00,0.00,0.00,-140.00,11,5.00,5.00,1.88,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.50,0.60,0.50,0.20,0.50,0.50,0.50,0.20,351,2022-06-07 23:53:23.773,2022-06-07 16:53:23.773,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,2.10,0.30,-8.80,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646003772,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-21.00,3.00,-88.00,0.00,0.00,-140.00,11,5.00,5.00,1.96,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,0.60,0.60,0.50,0.18,0.60,0.60,0.50,0.20,451,2022-06-07 23:53:23.872,2022-06-07 16:53:23.872,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,2.00,0.20,-8.70,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646003872,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-20.00,2.00,-87.00,0.00,0.00,-140.00,11,6.00,5.00,1.75,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,0.60,0.70,0.50,0.18,0.60,0.60,0.50,0.20,500,2022-06-07 23:53:23.922,2022-06-07 16:53:23.922,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,1.80,0.00,-8.60,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646003921,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-18.00,0.00,-86.00,0.00,0.00,-140.00,11,6.00,5.00,1.79,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.70,0.70,0.50,0.22,0.70,0.70,0.50,0.22,652,2022-06-07 23:53:24.074,2022-06-07 16:53:24.074,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,1.80,0.30,-8.50,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004073,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-18.00,3.00,-85.00,0.00,0.00,-140.00,11,7.00,5.00,2.20,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.70,0.80,0.50,0.23,0.70,0.70,0.50,0.23,754,2022-06-07 23:53:24.176,2022-06-07 16:53:24.176,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,2.00,0.40,-8.60,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004175,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-20.00,4.00,-86.00,0.00,0.00,-140.00,11,7.00,5.00,2.25,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.80,0.80,0.50,0.21,0.80,0.80,0.50,0.23,854,2022-06-07 23:53:24.276,2022-06-07 16:53:24.276,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,1.90,0.20,-8.70,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004275,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-19.00,2.00,-87.00,0.00,0.00,-140.00,11,8.00,5.00,2.14,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.80,0.90,0.50,0.22,0.80,0.80,0.50,0.23,954,2022-06-07 23:53:24.375,2022-06-07 16:53:24.375,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,1.80,0.40,-8.80,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004375,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-18.00,4.00,-88.00,0.00,0.00,-140.00,11,8.00,5.00,2.17,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.90,0.90,0.50,0.22,0.90,0.90,0.50,0.23,1053,2022-06-07 23:53:24.475,2022-06-07 16:53:24.475,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,1.80,0.40,-8.70,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004474,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-18.00,4.00,-87.00,0.00,0.00,-140.00,11,9.00,5.00,2.25,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,0.90,1.00,0.50,0.23,0.90,0.90,0.50,0.23,1154,2022-06-07 23:53:24.575,2022-06-07 16:53:24.575,15,0,0,16.013,34.182598,-118.129086,0.00,0.00,-0.50,1.80,0.30,-8.60,0,1,0,68,100,-4283,2369,16013,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004575,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-18.00,3.00,-86.00,0.00,0.00,-140.00,11,9.00,5.00,2.27,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.00,1.00,0.50,0.22,1.00,1.00,0.50,0.23,1253,2022-06-07 23:53:24.675,2022-06-07 16:53:24.675,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.50,1.70,0.00,-8.60,0,1,0,68,100,-7721,2366,15893,3161.50,10,TakeOff,1,0,0,0,0,0,0,1654646004674,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-17.00,0.00,-86.00,0.00,0.00,-140.00,11,10.00,5.00,2.16,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.00,1.10,0.40,0.22,1.00,1.00,0.50,0.23,1353,2022-06-07 23:53:24.775,2022-06-07 16:53:24.775,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.60,0.00,-8.70,0,1,0,68,100,-7721,2366,15893,3161.50,10,GPS,1,0,0,0,0,0,0,1654646004774,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-16.00,0.00,-87.00,0.00,0.00,-140.00,6,10.00,4.00,2.17,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.10,1.10,0.40,0.23,1.10,1.10,0.50,0.23,1451,2022-06-07 23:53:24.873,2022-06-07 16:53:24.873,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,0.70,0.10,-8.70,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646004872,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-7.00,1.00,-87.00,0.00,0.00,-140.00,14,11.00,4.00,2.26,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.10,1.20,0.40,0.23,1.10,1.10,0.50,0.23,1554,2022-06-07 23:53:24.975,2022-06-07 16:53:24.975,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.10,0.50,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646004975,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-11.00,5.00,-89.00,0.00,0.00,-140.00,14,11.00,4.00,2.29,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.20,1.20,0.40,0.24,1.20,1.20,0.50,0.24,1653,2022-06-07 23:53:25.075,2022-06-07 16:53:25.075,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.20,0.60,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005074,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-12.00,6.00,-89.00,0.00,0.00,-140.00,14,12.00,4.00,2.35,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.20,1.30,0.50,0.24,1.20,1.20,0.50,0.24,1754,2022-06-07 23:53:25.176,2022-06-07 16:53:25.176,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.50,1.10,1.20,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005175,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-11.00,12.00,-89.00,0.00,0.00,-140.00,14,12.00,5.00,2.38,0.00,0.00,-5.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.30,1.30,0.40,0.23,1.30,1.30,0.50,0.24,1854,2022-06-07 23:53:25.275,2022-06-07 16:53:25.275,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.20,0.70,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005275,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-12.00,7.00,-89.00,0.00,0.00,-140.00,14,13.00,4.00,2.27,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.30,1.40,0.40,0.23,1.30,1.30,0.50,0.24,1954,2022-06-07 23:53:25.375,2022-06-07 16:53:25.375,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.10,0.60,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005375,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-11.00,6.00,-89.00,0.00,0.00,-140.00,14,13.00,4.00,2.28,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.30,1.40,0.40,0.25,1.30,1.30,0.50,0.25,2052,2022-06-07 23:53:25.474,2022-06-07 16:53:25.474,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.40,0.70,-8.80,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005473,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-14.00,7.00,-88.00,0.00,0.00,-140.00,14,13.00,4.00,2.45,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.40,1.50,0.40,0.25,1.40,1.40,0.50,0.25,2153,2022-06-07 23:53:25.575,2022-06-07 16:53:25.575,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.40,0.60,-8.80,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005574,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-14.00,6.00,-88.00,0.00,0.00,-140.00,14,14.00,4.00,2.47,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.40,1.50,0.40,0.23,1.40,1.40,0.50,0.25,2254,2022-06-07 23:53:25.676,2022-06-07 16:53:25.676,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.20,0.30,-8.80,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005675,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-12.00,3.00,-88.00,0.00,0.00,-140.00,14,14.00,4.00,2.34,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.50,1.60,0.40,0.23,1.50,1.50,0.50,0.25,2354,2022-06-07 23:53:25.775,2022-06-07 16:53:25.775,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.20,0.30,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005775,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-12.00,3.00,-89.00,0.00,0.00,-140.00,14,15.00,4.00,2.34,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.50,1.60,0.40,0.24,1.50,1.50,0.50,0.25,2404,2022-06-07 23:53:25.825,2022-06-07 16:53:25.825,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.20,0.60,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005825,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-12.00,6.00,-89.00,0.00,0.00,-140.00,14,15.00,4.00,2.36,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.60,1.70,0.40,0.24,1.60,1.60,0.50,0.25,2503,2022-06-07 23:53:25.925,2022-06-07 16:53:25.925,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.20,0.40,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646005924,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-12.00,4.00,-89.00,0.00,0.00,-140.00,14,16.00,4.00,2.36,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.60,1.70,0.30,0.23,1.60,1.60,0.50,0.25,2654,2022-06-07 23:53:26.076,2022-06-07 16:53:26.076,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.30,1.10,0.00,-8.90,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646006075,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-11.00,0.00,-89.00,0.00,0.00,-140.00,14,16.00,3.00,2.27,0.00,0.00,-3.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.70,1.70,0.40,0.23,1.70,1.70,0.50,0.25,2753,2022-06-07 23:53:26.175,2022-06-07 16:53:26.175,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.10,-0.10,-8.80,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646006174,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-11.00,-1.00,-88.00,0.00,0.00,-140.00,14,17.00,4.00,2.26,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.70,1.80,0.40,0.26,1.70,1.70,0.50,0.26,2854,2022-06-07 23:53:26.276,2022-06-07 16:53:26.276,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.40,1.40,-0.10,-8.80,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646006275,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-14.00,-1.00,-88.00,0.00,0.00,-140.00,14,17.00,4.00,2.56,0.00,0.00,-4.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.70,1.80,0.30,0.26,1.70,1.70,0.50,0.26,2904,2022-06-07 23:53:26.325,2022-06-07 16:53:26.325,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.30,1.00,0.00,-9.30,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646006325,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-10.00,0.00,-93.00,0.00,0.00,-140.00,14,17.00,3.00,2.58,0.00,0.00,-3.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.80,1.80,0.20,0.25,1.80,1.80,0.50,0.26,3056,2022-06-07 23:53:26.477,2022-06-07 16:53:26.477,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.20,0.90,0.20,-10.30,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646006477,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-9.00,2.00,-103.00,0.00,0.00,-140.00,14,18.00,2.00,2.53,0.00,0.00,-2.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.80,1.90,0.10,0.25,1.80,1.80,0.50,0.26,3155,2022-06-07 23:53:26.576,2022-06-07 16:53:26.576,15,0,0,15.893,34.182598,-118.129086,0.00,0.00,-0.10,0.80,0.10,-12.00,0,1,0,68,100,-7721,2366,15893,3161.50,10,WP,1,0,0,0,0,0,0,1654646006576,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-8.00,1.00,-120.00,0.00,0.00,-140.00,14,18.00,1.00,2.53,0.00,0.00,-1.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.80,1.90,0.10,0.24,1.80,1.80,0.50,0.26,3255,2022-06-07 23:53:26.676,2022-06-07 16:53:26.676,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,-0.10,0.60,0.20,-14.30,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646006676,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-6.00,2.00,-143.00,0.00,0.00,-143.00,14,18.00,1.00,2.44,0.00,0.00,-1.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.80,1.90,0.10,0.24,1.80,1.80,0.50,0.26,3355,2022-06-07 23:53:26.777,2022-06-07 16:53:26.777,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,-0.10,0.50,0.40,-17.10,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646006776,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-5.00,4.00,-171.00,0.00,0.00,-151.00,14,18.00,1.00,2.42,0.00,0.00,-1.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,1.80,1.90,0.00,0.24,1.80,1.80,0.50,0.26,3454,2022-06-07 23:53:26.876,2022-06-07 16:53:26.876,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.60,0.50,-20.50,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646006875,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-6.00,5.00,-205.00,0.00,0.00,-170.00,14,18.00,0.00,2.36,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,1.80,1.90,0.00,0.23,1.80,1.80,0.50,0.26,3554,2022-06-07 23:53:26.976,2022-06-07 16:53:26.976,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.60,0.40,-24.30,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646006975,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-6.00,4.00,-243.00,0.00,0.00,-199.00,14,18.00,0.00,2.34,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,1.80,1.90,0.00,0.24,1.80,1.80,0.50,0.26,3656,2022-06-07 23:53:27.078,2022-06-07 16:53:27.078,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.30,0.20,-28.70,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646007077,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-3.00,2.00,-287.00,0.00,0.00,-235.00,14,18.00,0.00,2.37,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,1.90,1.90,0.00,0.24,1.90,1.90,0.50,0.26,3754,2022-06-07 23:53:27.176,2022-06-07 16:53:27.176,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.30,-0.10,-33.60,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646007175,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-3.00,-1.00,-336.00,0.00,0.00,-277.00,14,19.00,0.00,2.36,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,1.90,1.90,0.00,0.24,1.90,1.90,0.50,0.26,3839,2022-06-07 23:53:27.261,2022-06-07 16:53:27.261,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.30,-0.40,-39.10,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646007260,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-3.00,-4.00,-391.00,0.00,0.00,-324.00,14,19.00,0.00,2.45,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129086,1.90,1.90,0.00,0.25,1.90,1.90,0.50,0.26,3955,2022-06-07 23:53:27.377,2022-06-07 16:53:27.377,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.10,-0.30,-45.20,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646007376,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-1.00,-3.00,-452.00,0.00,0.00,-377.00,14,19.00,0.00,2.46,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.90,1.90,0.00,0.25,1.90,1.90,0.50,0.26,4055,2022-06-07 23:53:27.477,2022-06-07 16:53:27.477,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.10,-0.20,-51.90,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646007476,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-1.00,-2.00,-519.00,0.00,0.00,-436.00,14,19.00,0.00,2.55,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
34.182600,-118.129087,1.90,1.90,0.00,0.26,1.90,1.90,0.50,0.26,4155,2022-06-07 23:53:27.577,2022-06-07 16:53:27.577,15,0,0,15.867,34.182598,-118.129086,0.00,0.00,0.00,0.30,-0.40,-59.20,0,1,0,68,100,-7590,2362,15867,3171.50,10,WP,1,0,0,0,0,0,0,1654646007576,4008,4009,4005,3992,0,0,27,,,,,,,0,0,0,-3.00,-4.00,-592.00,0.00,0.00,-502.00,14,19.00,0.00,2.58,0.00,0.00,0.00,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
